Accession,susceptibility_avg,susceptibility_avg_category2,PLOT.ID,PlantNumber,NumWhorls,cat
Oh7B,94.445,high,S29,Plant9,1,Variable
Oh7B,94.445,high,S29,Plant7,2,Variable
Oh7B,94.445,high,S29,Plant6,1,Variable
Oh7B,94.445,high,S104,Plant1,0,Variable
Oh7B,94.445,high,S29,Plant1,1,Variable
Oh7B,94.445,high,S104,Plant6,1,Variable
Oh7B,94.445,high,S29,Plant3,1,Variable
Oh7B,94.445,high,S104,Plant5,1,Variable
Oh7B,94.445,high,S29,Plant5,1,Variable
Oh7B,94.445,high,S29,Plant2,2,Variable
Oh7B,94.445,high,S29,Plant4,1,Variable
Oh7B,94.445,high,S104,Plant8,2,Variable
Oh7B,94.445,high,S104,Plant9,2,Variable
Oh7B,94.445,high,S104,Plant3,1,Variable
Oh7B,94.445,high,S104,Plant4,1,Variable
Oh7B,94.445,high,S29,Plant10,2,Variable
Oh7B,94.445,high,S104,Plant2,1,Variable
R84,52.145,average,S76,Plant9,1,Variable
R84,52.145,average,S76,Plant3,1,Variable
R84,52.145,average,S76,Plant1,1,Variable
R84,52.145,average,S76,Plant10,1,Variable
R84,52.145,average,S76,Plant8,1,Variable
R84,52.145,average,S21,Plant12,2,Variable
R84,52.145,average,S21,Plant3,2,Variable
R84,52.145,average,S76,Plant5,1,Variable
R84,52.145,average,S21,Plant1,2,Variable
R84,52.145,average,S76,Plant12,1,Variable
R84,52.145,average,S21,Plant11,2,Variable
R84,52.145,average,S21,Plant7,2,Variable
R84,52.145,average,S76,Plant7,1,Variable
R84,52.145,average,S21,Plant5,2,Variable
R84,52.145,average,S21,Plant4,1,Variable
R84,52.145,average,S21,Plant10,2,Variable
R84,52.145,average,S21,Plant9,2,Variable
R84,52.145,average,S76,Plant4,2,Variable
R84,52.145,average,S21,Plant2,2,Variable
R84,52.145,average,S76,Plant6,2,Variable
R84,52.145,average,S21,Plant8,2,Variable
R84,52.145,average,S76,Plant13,2,Variable
R84,52.145,average,S76,Plant11,1,Variable
R84,52.145,average,S76,Plant2,2,Variable
R84,52.145,average,S21,Plant6,2,Variable
SA24,100,high,S37,Plant12,1,Variable
SA24,100,high,S37,Plant15,1,Variable
SA24,100,high,S37,Plant6,1,Variable
SA24,100,high,S37,Plant16,1,Variable
SA24,100,high,S9,Plant9,1.5,Variable
SA24,100,high,S37,Plant3,1,Variable
SA24,100,high,S9,Plant3,1,Variable
SA24,100,high,S9,Plant11,1,Variable
SA24,100,high,S37,Plant10,1,Variable
SA24,100,high,S37,Plant8,1,Variable
SA24,100,high,S9,Plant6,2,Variable
SA24,100,high,S9,Plant2,1,Variable
SA24,100,high,S9,Plant1,2,Variable
